產業,事件標題,選項A,選項B,選項C
科技,公司量子電腦被發現其實是RGB主機改裝,[公開技術細節](花費:$300萬)•60%:因為「誠實止損」股價上升(x1.01)•40%:因為「市場信心崩潰」股價下降(x0.8),[強調這是量子風格設計](花費:$0)•15%:因為「迷因爆紅」股價上升(x1.01)•85%:因為「學界炎上」股價下降(x0.8),(無)
科技,公司新品名稱票選結果變成大香蕉Pro,[重新命名](花費:$25萬)•85%:因為「品牌形象恢復」股價上升(x1.01)•15%:因為「網友繼續玩梗」股價下降(x0.95),[直接採用名稱](花費:$0)•40%:因為「成功帶起話題」股價上升(x1.03)•60%:因為「高層氣到開會」股價下降(x0.92),(無)
銀行,ATM吐鈔時夾出樂透彩券,[全面檢修ATM](花費:$70萬)•90%:因為「系統恢復正常」股價持平(x1.0)•10%:因為「更多ATM故障」股價下降(x0.93),[推出幸運提款活動](花費:$20萬)•45%:因為「社群話題暴增」股價上升(x1.03)•55%:因為「金管會關切」股價下降(x0.92),(無)
銀行,客服電話等待音樂是Baby Shark,[更換音樂](花費:$5萬)•100%:因為「客戶情緒改善」股價上升(x1.01),[維持現狀](花費:$0)•100%:因為「客服被大量辱罵」股價下降(x0.95),(無)
生技,實驗猴子學會開冰箱偷吃便當,[升級實驗室安全](花費:$40萬)•90%:因為「實驗恢復正常」股價持平(x1.0)•10%:因為「猴子逃跑」股價下降(x0.93),[直播高智商猴子](花費:$10萬)•60%:因為「流量爆炸」股價上升(x1.03)•40%:因為「動保團體抗議」股價下降(x0.9),(無)
全域,老闆誤把迷因圖傳到股東群組,[公開道歉](花費:$3萬)•95%:因為「大家覺得親民」股價上升(x1.01)•5%:因為「迷因太地獄」股價下降(x0.92),[繼續發更多迷因](花費:$0)•45%:因為「年輕投資人增加」股價上升(x1.03)•55%:因為「董事會暴怒」股價下降(x0.9),(無)
全域,公司冰箱貼滿「這不是你的便當」標籤,[加裝監視器](花費:$12萬)•80%:因為「成功抓到便當小偷」股價上升(x1.01)•20%:因為「侵犯隱私被抱怨」股價下降(x0.97),[公司每天請雞排](花費:$50萬)•100%:因為「再也沒人偷便當」股價上升(x1.03),(無)
全域,老闆尾牙唱歌破音影片登上熱門,[請公關刪片](花費:$12萬)•70%:因為「成功降溫」股價持平(x1.0)•30%:因為「越刪越紅」股價下降(x0.94),[直接發MV](花費:$40萬)•35%:因為「意外迷因爆紅」股價上升(x1.03)•65%:因為「股東無法接受」股價下降(x0.9),(無)
科技,上游晶圓代工廠的高階封裝（CoWoS）產能嚴重吃緊，導致我們的新一代 AI 晶片交貨面臨延遲。,[砸重金加價搶產能](花費:$350萬)•70%:因為「確保出貨順利，搶佔市佔率」股價上升(x1.05)•30%:因為「成本過高侵蝕毛利」股價下降(x0.98),[更改設計方案使用成熟製程](花費:$50萬)•30%:因為「避開供應鏈危機」股價上升(x1.02)•70%:因為「產品效能大幅落後競品」股價下降(x0.94),(無)
科技,研發團隊提出要將現有架構轉向『存算一體 (PIM)』的新一代設計，但初期研發成本極高。,[批准長期研發預算](花費:$400萬)•60%:因為「新架構取得重大專利突破」股價上升(x1.08)•40%:因為「研發頻頻卡關，資金流失」股價下降(x0.93),[維持現狀專注短期獲利](花費:$0)•100%:因為「技術停滯，長線競爭力遭質疑」股價下降(x0.97),(無)
科技,競爭對手疑似重金挖角我們的核心研發團隊，並竊取了即將發布的旗艦產品原始碼！,[啟動競業條款並跨國提告](花費:$200萬)•60%:因為「法院裁定假扣押對手產品，保住市場」股價上升(x1.06)•40%:因為「官司纏訟，錯失黃金發布期」股價下降(x0.93),[提前發布半成品搶佔首發](花費:$50萬)•50%:因為「搶下市佔率，投資人看好」股價上升(x1.04)•50%:因為「Bug 太多導致品牌形象重創」股價下降(x0.91),(無)
銀行,外資券商發布報告，將我們金控旗下的重點持股目標價大幅調升，引發外資買盤湧入。,[自營部跟進加碼做多](花費:$250萬)•65%:因為「順勢操作，單日帳面獲利爆發」股價上升(x1.06)•35%:因為「外資趁機出貨，慘遭套牢」股價下降(x0.94),[逢高獲利了結增加現金儲備](花費:$0)•100%:因為「落袋為安，財務體質轉佳」股價上升(x1.02),(無)
銀行,網路上突然出現大量假消息，指控我們金控踩雷海外不良資產，即將面臨破產危機！,[砸重金在各大媒體刊登澄清與財報](花費:$150萬)•80%:因為「財報透明有力，迅速粉碎謠言」股價上升(x1.04)•20%:因為「恐慌情緒已蔓延，澄清無效」股價下降(x0.95),[報警並採取冷處理](花費:$0)•30%:因為「謠言不攻自破」股價持平(x1.0)•70%:因為「散戶恐慌性拋售引發擠兌」股價下降(x0.90),(無)
生技,對手公司搶先一天註冊了與我們高度相似的抗癌新藥專利，數年研發心血面臨付諸東流！,[提起專利無效訴訟打死不退](花費:$250萬)•55%:因為「成功證明對手抄襲，奪回專利」股價上升(x1.08)•45%:因為「敗訴且負擔巨額訴訟費」股價下降(x0.92),[認賠殺出尋求與對手交互授權](花費:$80萬)•80%:因為「成功授權，確保產品能上市」股價上升(x1.02)•20%:因為「談判破裂，前期研發全數認列虧損」股價下降(x0.94),(無)
全域,美國聯準會（Fed）主席在聽證會上暗示全年降息次數將少於市場預期，全球熱錢開始撤出股市。,[動用閒置資金進行美元避險操作](花費:$150萬)•75%:因為「精準避險，減少匯損衝擊」股價上升(x1.02)•25%:因為「操作失誤，衍生性商品虧損」股價下降(x0.96),[什麼都不做硬扛市場波動](花費:$0)•100%:因為「外資抽逃，大盤全面重挫」股價下降(x0.94),(無)
全域,知名做空機構發布百頁報告，指控公司財務造假，導致盤前股價跳水！,[實施庫藏股護盤](花費:$300萬)•70%:因為「成功軋爆做空機構」股價上升(x1.09)•30%:因為「護盤失敗，現金水位拉警報」股價下降(x0.88),[邀請第三方公開查帳](花費:$100萬)•90%:因為「查帳結果清白，外資重新買進」股價上升(x1.05)•10%:因為「被查出其他小瑕疵遭放大檢視」股價下降(x0.94),(無)
科技,🚨 集團晶片工廠深夜突發大火！,[全力搶救並配合調查](花費:$500萬)•100%:因為「火災停業」，股價下降(x0.9),(無),(無)
